Account,Dependency 1,Fraction 1,Building,Parallelism
A.218J.24,A.218J.141,1,A.218J.,1
A.218K.,A.211.,0.9,A.218K.,1
A.218L.,A.211.,0.9,A.218L.,1
A.218P.,A.212.141,0.9,A.218P.,1
A.218S.,A.211.,0.9,A.218S.,1
A.218T.11,A.212.141,0.9,A.218T.,1
A.218T.13,A.218T.11,0.9,A.218T.,1
A.218T.141,A.218T.13,0.9,A.218T.,1
A.218T.142,A.218T.141,0.5,A.218T.,1
A.218T.145,A.218T.141,0.9,A.218T.,1
A.218T.147,A.218T.145,0.9,A.218T.,1
A.218T.149,A.218T.141,0.9,A.218T.,1
A.218T.21,A.218T.141,1,A.218T.,1
A.218T.22,A.218T.141,1,A.218T.,1
A.218T.24,A.218T.141,1,A.218T.,1
A.218V.,A.211.,0.9,A.218V.,1
A.221.1,A.212.141,0.5,A.212.,3
A.221.2,A.221.1,1,A.212.,3
A.221.3,A.221.1,1,A.212.,3
A.222.11,A.221.3,1,A.212.,3
A.222.12,A.221.3,1,A.212.,3
A.222.13,A.221.1,1,A.212.,3
A.222.14,A.221.1,1,A.212.,3
A.223.1,A.221.3,1,A.212.,3
A.223.3,A.221.3,1,A.212.,3
A.223.4,A.212.15,1,A.212.,3
A.223.5,A.212.15,1,A.212.,3
A.224.1,A.221.3,1,A.216.,3
A.224.2,A.221.3,1,A.216.,3
A.224.3,A.221.3,1,A.216.,3
A.225.111,A.212.142,0.5,A.212.,3
A.225.112,A.212.142,0.9,A.212.,3
A.225.113,A.212.142,0.9,A.212.,3
A.225.114,A.212.142,0.5,A.212.,3
A.225.12,A.212.142,0.9,A.212.,3
A.225.13,A.212.142,0.9,A.212.,3
A.225.3,A.212.142,0.9,A.212.,3
A.225.4,A.212.142,0.9,A.212.,3
A.226.1,A.212.142,0.9,A.212.,3
A.226.3,A.212.142,0.9,A.212.,3
A.226.4,A.212.142,0.9,A.212.,3
A.226.6,A.212.142,0.9,A.212.,3
A.226.71,A.212.142,0.9,A.212.,3
A.226.72,A.212.142,0.9,A.212.,3
A.226.8,A.212.142,0.9,A.212.,3
A.226.9,A.212.142,0.9,A.212.,3
A.227.11,A.218A.145,0.9,A.218A.,3
A.227.15,A.218A.145,0.9,A.218A.,3
A.227.16,A.218A.145,0.9,A.212.,3
A.227.17,A.218A.145,0.9,A.218A.,3
A.227.18,A.218A.145,0.9,A.218A.,3
A.227.19,A.218A.145,0.9,A.218A.,3
A.227.2,A.218A.145,0.9,A.218A.,3
A.227.3,A.221.3,0.9,A.218A.,3
A.227.4,A.221.3,0.9,A.218A.,3
A.227.5,A.218A.145,0.9,A.218A.,3
A.227.9,A.218A.145,0.9,A.218A.,3
A.228.1,A.218T.21,0.7,A.211.,3
A.228.2,A.211.,0.5,A.211.,3
A.228.4,A.221.3,1,A.212.,3
A.229.1,A.212.3,1,A.212.,3
A.229.2,A.212.3,1,A.212.,3
A.229.3,A.221.3,1,A.212.,3
A.229.4,A.221.3,1,A.212.,3
A.229.5,A.221.3,1,A.212.,3
A.229.6,A.221.3,1,A.212.,3
A.231.,A.213.21,0.5,A.213.,2
A.233.,A.213.21,0.5,A.213.,2
A.234.,A.213.21,0.5,A.213.,2
A.235.,A.213.21,0.5,A.213.,2
A.236.,A.213.21,0.5,A.213.,2
A.237.,A.213.21,0.5,A.213.,2
A.241.,A.236.,0.5,A.24.,2
A.242.,A.236.,0.5,A.24.,2
A.243.,A.236.,0.5,A.218A.,2
A.244.,A.236.,0.5,A.24.,2
A.245.,A.236.,0.5,A.24.,2
A.246.,A.236.,0.5,A.213.,2
A.251.111,A.213.142,1,A.213.,1
A.251.112,A.213.142,1,A.213.,1
A.251.12,A.212.142,1,A.212.,1
A.251.16,A.212.21,0.7,A.212.,1
A.251.17,A.218A.142,0.9,A.218A.,1
A.252.1,A.212.21,0.7,A.212.,2
A.252.2,A.212.21,0.7,A.212.,2
A.252.3,A.212.21,0.7,A.212.,2
A.252.4,A.212.21,0.7,A.212.,2
A.253.,A.212.21,0.7,A.218B.,2
A.254.,A.212.21,0.7,A.218B.,1
A.255.,A.218S.,1,A.218S.,1
A.261.1,A.211.,1,A.261.1,1
A.261.2,A.211.,1,A.261.2,1
A.261.3,A.211.,1,A.261.3,1
A.262.11,A.211.,1,A.261.1,1
A.262.12,A.211.,1,A.261.2,1
A.262.13,A.211.,1,A.262.13,1
A.262.14,A.211.,1,A.262.13,1
A.262.15,A.211.,1,A.261.3,1
None,None,0,None,1
