Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.213.147,A.213.146,0.9,A.213.,1,4621.774633,4016.322156,3699.622371,3490.183953,3335.931085,3214.971841,3116.130476,3032.969855,2961.461079,2898.924113
A.213.149,A.213.143,0.9,A.213.,1,14220.39147,12357.52019,11383.09039,10738.68504,10264.07597,9891.905548,9587.787972,9331.9173,9111.897314,8919.482017
A.213.21,A.213.141,1,A.213.,1,27862.00714,24212.08421,22302.88431,21040.30118,20110.39982,19381.20647,18785.34902,18284.02172,17852.93665,17475.93744
A.213.22,A.213.141,1,A.213.,1,10546.44034,9164.856657,8442.178542,7964.260435,7612.270388,7336.253153,7110.706769,6920.942318,6757.766243,6615.062967
A.213.24,A.213.141,1,A.213.,1,10370.47412,9011.942013,8301.321704,7831.377609,7485.260478,7213.848561,6992.065394,6805.467142,6645.013643,6504.691355
A.213.25,A.213.141,1,A.213.,1,1766.679294,1535.244306,1414.185407,1334.127302,1275.163945,1228.927119,1191.14488,1159.356626,1132.022304,1108.117468
A.214.,A.211.,0.9,A.214.,1,62706.00001,54491.51401,50194.6847,47353.12567,45260.29746,43619.18101,42278.14924,41149.86621,40179.66976,39331.19849
A.215.13,A.211.,0.5,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.215.141,A.215.13,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.142,A.215.141,0.5,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.145,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.146,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.147,A.215.146,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.149,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.21,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.221,A.215.141,1,A.215.,2,2067.511601,1796.667581,1654.994624,1561.304128,1492.300419,1438.190329,1393.974484,1356.773287,1324.784444,1296.809064
A.215.222,A.215.141,1,A.215.,2,2051.274599,1782.557626,1641.997284,1549.042577,1480.580782,1426.89564,1383.027041,1346.118,1314.380378,1286.624699
A.215.223,A.215.141,1,A.215.,2,184.0193572,159.9128214,147.3031865,138.9642418,132.8225503,128.006469,124.0710274,120.7599261,117.9127516,115.4227963
A.215.224,A.215.141,1,A.215.,2,568.2950737,493.848419,454.9068995,429.1542761,410.1872879,395.3140956,383.1605258,372.935066,364.1423211,356.4527532
A.215.225,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.226,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.227,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
