Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.218A.147,A.218A.146,0.9,A.218A.,1,1712.097069,1487.812353,1370.493614,1292.908935,1235.767273,1190.958951,1154.344009,1123.537865,1097.048047,1073.88176
A.218A.148,A.218A.141,0.9,A.218A.,1,4574.708784,3975.421933,3661.947261,3454.64166,3301.959626,3182.23217,3084.397357,3002.083602,2931.303036,2869.402915
A.218A.149,A.218A.141,0.9,A.218A.,1,13164.36724,11439.83513,10537.76772,9941.216729,9501.852726,9157.320151,8875.786731,8638.917338,8435.236313,8257.110019
A.218A.21,A.218A.141,1,A.218A.,1,42848.00973,37234.92046,34298.82847,32357.14588,30927.08299,29805.68194,28889.33355,28118.35977,27455.40906,26875.63511
A.218A.231,A.218A.141,1,A.218A.,1,2078.584302,1806.289758,1663.858062,1569.6658,1500.292536,1445.892656,1401.440011,1364.03958,1331.879419,1303.754214
A.218A.232,A.218A.141,1,A.218A.,1,3519.006757,3058.016872,2816.882509,2657.416662,2539.968943,2447.8709,2372.613352,2309.295079,2254.848489,2207.233012
A.218A.233,A.218A.141,1,A.218A.,1,145.865565,126.757176,116.7619692,110.1519859,105.2836867,101.4661513,98.34666738,95.72207577,93.46522232,91.49152377
A.218A.234,A.218A.141,1,A.218A.,1,1367.489672,1188.348525,1094.643462,1032.674868,987.0345632,951.2451683,922.0000068,897.3944605,876.2364593,857.7330354
A.218A.235,A.218A.141,1,A.218A.,1,135385.1242,117649.6729,108372.6218,102237.5658,97719.05387,94175.80833,91280.45936,88844.44466,86749.74612,84917.85781
A.218A.236,A.218A.141,1,A.218A.,1,3072.293464,2669.82302,2459.298978,2320.076205,2217.537653,2137.130812,2071.426683,2016.146222,1968.611246,1927.04022
A.218A.237,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0
